distance_km,ngo_members,expiry_hours_left,past_success_rate,allocation_score
19.48,148,12.3,0.64,0.7843
7.23,89,41.5,0.81,0.9012
21.85,14,26.6,0.54,0.6633
34.55,17,24.8,0.4,0.5061
17.15,63,42.0,0.73,0.8126
0.69,19,35.1,0.65,0.8163
4.67,26,37.8,0.79,0.7573
7.79,109,47.8,0.95,0.9707
24.29,5,30.1,0.65,0.7612
1.84,48,27.4,0.39,0.7949
6.79,92,24.4,0.81,0.721
3.69,24,21.4,0.47,0.6649
100.0,140,31.2,0.96,0.7318
10.18,47,28.6,0.81,0.7623
0.99,94,13.8,0.36,0.821
37.39,15,38.7,0.55,0.6231
26.53,39,21.5,0.62,0.732
21.9,161,4.2,0.9,0.7533
47.84,19,13.8,0.23,0.4998
1.79,123,7.5,0.97,0.8761
0.94,59,46.3,0.69,0.8778
80.08,19,31.7,0.46,0.6295
19.26,26,6.4,0.43,0.7033
2.94,103,35.0,0.89,0.9888
12.76,38,8.8,0.33,0.6344
14.87,87,22.6,0.73,0.8393
4.1,25,36.6,0.2,0.6477
12.5,214,37.3,0.85,0.8464
15.97,39,6.0,0.67,0.6243
31.99,48,30.8,0.55,0.6768
3.94,64,38.3,0.77,0.8183
45.38,58,8.1,0.69,0.6643
33.05,40,46.5,0.67,0.6466
0.75,46,25.8,0.73,0.8643
34.69,43,34.4,0.87,0.7496
35.73,25,9.2,0.14,0.4953
12.47,74,31.6,0.28,0.7004
3.2,61,16.3,0.71,0.8577
7.05,56,33.6,0.36,0.778
56.21,107,37.0,0.89,0.7794
22.72,46,6.2,0.82,0.7709
2.85,32,3.0,0.66,0.8017
7.41,125,36.4,0.91,0.9116
16.06,10,12.4,0.61,0.6767
7.55,22,35.9,0.38,0.7299
1.21,48,47.8,0.67,0.8212
18.77,11,5.4,0.38,0.6123
11.76,24,21.4,0.64,0.7582
19.18,54,28.8,0.4,0.6806
21.62,155,29.2,0.29,0.7053
6.37,27,23.2,0.71,0.7432
15.04,5,1.4,0.22,0.4803
14.88,22,44.8,0.32,0.6579
41.96,39,34.0,0.69,0.7263
25.54,51,15.5,0.6,0.6901
2.93,29,22.4,0.32,0.7314
22.59,61,18.0,0.59,0.7727
26.25,11,43.4,0.53,0.5573
13.81,48,3.1,0.86,0.8204
21.63,98,33.5,0.86,0.8109
32.53,91,41.3,0.93,0.7705
9.78,50,34.2,0.33,0.6566
1.02,56,30.9,0.61,0.7755
23.11,51,18.1,0.84,0.7888
66.99,29,2.8,0.5,0.3996
28.73,35,14.6,0.59,0.6168
8.82,43,8.2,0.26,0.6875
12.11,23,13.2,0.33,0.7145
3.5,34,30.4,0.35,0.7623
19.89,16,19.6,0.49,0.6797
41.3,12,38.2,0.73,0.695
58.16,13,22.7,0.37,0.4484
5.04,76,19.2,0.23,0.6999
79.49,31,39.9,0.49,0.5946
45.22,8,42.5,0.19,0.5006
0.89,37,33.3,0.59,0.8477
7.04,16,46.0,0.41,0.7332
27.28,94,35.8,0.76,0.8089
19.52,9,23.9,0.72,0.6222
9.08,10,39.0,0.35,0.7234
25.06,7,4.4,0.56,0.538
33.04,137,20.0,0.73,0.7739
19.0,27,31.4,0.42,0.7221
18.13,54,4.4,0.39,0.6587
15.19,12,37.4,0.83,0.7548
20.36,7,36.2,0.32,0.5491
2.65,27,13.7,0.45,0.7034
11.88,125,18.7,0.57,0.82
22.46,174,36.8,0.9,0.9073
30.95,56,3.3,0.69,0.5878
9.7,28,3.5,0.26,0.621
5.26,58,23.2,0.55,0.7448
21.59,72,15.8,0.39,0.6564
44.68,21,18.3,0.15,0.4421
0.89,11,20.4,0.18,0.5211
0.7,36,46.3,0.78,0.8436
75.11,11,1.8,0.65,0.4083
0.85,22,37.3,0.1,0.6973
73.64,98,2.1,0.37,0.4507
10.65,23,4.1,0.41,0.6264
63.8,147,37.9,0.75,0.6998
9.6,17,10.2,0.61,0.7393
20.71,29,32.7,0.3,0.6273
13.2,115,34.3,0.77,0.8362
23.26,8,13.9,0.08,0.4328
1.4,14,21.9,0.44,0.716
6.51,33,28.9,0.65,0.7823
31.96,124,45.4,0.75,0.7699
25.84,19,31.1,0.21,0.5239
14.32,5,1.4,0.54,0.5593
38.18,70,5.5,0.51,0.5685
3.02,22,19.7,0.43,0.7273
9.34,82,12.8,0.52,0.7112
4.75,130,5.8,0.71,0.8521
7.14,155,28.3,0.74,0.9934
7.14,26,43.0,0.66,0.7916
4.62,25,41.2,0.22,0.7043
33.81,95,16.6,0.64,0.736
7.14,32,2.8,0.65,0.6151
72.8,17,15.3,0.35,0.5532
38.23,32,15.2,0.61,0.6964
9.77,121,38.9,0.98,0.9926
4.16,80,28.4,0.87,0.9183
28.96,10,25.2,0.32,0.6277
51.26,64,35.3,0.49,0.5647
77.32,102,34.0,0.64,0.6297
10.08,13,38.0,0.19,0.6138
5.86,66,39.4,0.45,0.7618
4.45,85,27.0,0.56,0.7467
41.52,60,38.4,0.36,0.7172
47.81,5,32.7,0.52,0.6128
8.63,70,20.0,0.56,0.8263
23.63,25,3.7,0.52,0.5613
11.34,74,5.8,0.75,0.7044
1.9,41,9.4,0.83,0.793
6.64,16,23.7,0.12,0.555
19.01,9,4.6,0.39,0.6485
6.72,5,46.4,0.45,0.7104
8.01,20,29.1,0.36,0.6397
0.81,48,12.9,0.79,0.8758
4.68,60,46.9,0.55,0.7051
11.9,69,1.4,0.38,0.7344
25.54,9,10.4,0.4,0.545
6.19,8,22.6,0.16,0.6553
61.02,96,38.8,0.43,0.6145
1.92,28,44.3,0.84,0.8524
45.64,59,38.0,0.87,0.6554
21.46,142,4.0,0.75,0.669
7.66,39,3.6,0.71,0.8625
6.53,13,8.5,0.22,0.5776
34.15,62,6.2,0.7,0.5897
9.23,93,38.1,0.83,0.7882
57.15,109,5.8,0.99,0.6836
36.89,102,36.2,0.94,0.8175
4.45,64,11.8,0.42,0.7371
9.25,10,11.5,0.69,0.7547
10.42,18,11.3,0.38,0.731
24.34,65,9.1,0.21,0.6009
15.71,11,29.5,0.48,0.6401
45.7,16,24.9,0.23,0.487
20.3,63,12.9,0.73,0.6741
31.86,35,9.6,0.63,0.7164
10.31,86,43.4,0.48,0.7715
2.04,28,38.8,0.49,0.7158
9.82,8,18.4,0.68,0.712
0.61,86,37.3,0.66,0.863
32.99,41,7.6,0.55,0.6549
28.22,124,36.7,0.72,0.7934
20.51,13,23.3,0.19,0.5437
11.56,124,24.8,0.75,0.8157
35.0,58,38.4,0.85,0.6889
6.78,15,33.6,0.77,0.8098
34.24,80,36.8,0.33,0.6283
16.8,6,32.3,0.41,0.6063
35.41,98,12.7,0.53,0.7577
33.37,102,47.9,0.78,0.7445
0.95,27,37.8,0.12,0.7272
1.29,95,30.1,0.57,0.8377
17.9,238,36.6,0.93,0.9244
53.44,25,25.8,0.32,0.5723
18.49,7,22.4,0.44,0.6283
23.98,64,31.5,0.42,0.6386
4.45,66,22.4,0.67,0.8461
24.56,96,38.7,0.86,0.9671
3.84,47,14.0,0.55,0.7384
19.17,111,42.5,0.76,0.795
4.88,71,14.5,0.66,0.8097
1.89,190,39.4,0.87,0.9127
5.71,36,13.6,0.49,0.6957
3.28,19,17.7,0.35,0.7123
40.5,13,4.9,0.15,0.44
14.58,12,30.3,0.36,0.6395
7.82,91,3.7,0.87,0.904
40.14,23,26.3,0.68,0.6418
27.57,38,23.7,0.45,0.6392
29.25,11,10.2,0.64,0.5715
16.59,28,32.1,0.7,0.7658
5.44,15,39.8,0.5,0.6988
32.46,27,5.1,0.23,0.533
22.84,17,11.3,0.31,0.6064
20.24,74,8.1,0.77,0.7614
51.2,7,14.7,0.42,0.6076
3.86,38,21.2,0.45,0.7271
1.12,16,17.0,0.68,0.7472
1.21,45,21.6,0.85,0.8468
26.29,10,29.6,0.36,0.6675
3.18,79,12.1,0.46,0.785
1.87,5,39.9,0.61,0.7428
6.67,52,32.9,0.61,0.8141
7.12,170,1.5,0.76,0.7824
2.14,34,13.3,0.55,0.7147
1.78,9,8.7,0.23,0.5588
13.23,59,36.3,0.52,0.7552
28.8,7,1.3,0.67,0.5374
23.99,20,10.0,0.62,0.5765
3.05,71,26.0,0.88,0.8201
2.98,44,43.4,0.49,0.827
34.91,46,31.9,0.49,0.6845
2.71,48,22.8,0.67,0.7798
1.16,58,26.0,0.33,0.7388
9.04,7,3.5,0.7,0.6876
6.33,48,17.9,0.62,0.8457
8.46,16,5.0,0.22,0.6099
10.09,87,39.7,0.49,0.8635
13.41,31,8.6,0.65,0.7324
2.97,52,45.1,0.59,0.7645
10.82,94,39.3,0.27,0.6577
23.03,58,4.3,0.46,0.6241
1.36,32,8.9,0.52,0.7815
54.95,129,30.9,0.62,0.6527
23.13,32,35.4,0.56,0.6886
10.03,128,12.8,0.62,0.6806
17.52,24,2.8,0.71,0.74
6.68,236,2.2,0.62,0.8728
56.28,14,30.3,0.45,0.5317
11.33,75,43.2,0.72,0.8017
22.18,51,8.7,0.67,0.6972
1.3,47,19.5,0.65,0.8148
7.82,7,28.7,0.48,0.6238
47.42,28,26.8,0.41,0.5737
5.58,17,39.4,0.18,0.6744
1.55,38,21.8,0.45,0.6355
17.47,86,36.7,0.64,0.8624
1.67,6,19.4,0.24,0.5751
43.95,118,15.0,0.94,0.8115
35.29,30,8.3,0.39,0.5298
2.19,250,8.3,0.73,0.8799
19.82,31,21.1,0.26,0.6451
54.99,63,39.7,0.73,0.7128
6.33,105,5.8,0.84,0.8999
18.54,51,33.1,0.21,0.6822
5.81,54,36.1,0.36,0.7458
27.0,25,23.5,0.33,0.6117
1.06,54,21.0,0.68,0.7836
67.72,7,42.8,0.42,0.4982
8.84,129,20.1,0.89,0.9376
24.44,120,38.2,0.76,0.8309
20.59,50,1.8,0.34,0.5272
8.89,12,5.4,0.27,0.5933
0.5,67,17.8,0.66,0.8178
63.73,46,25.2,0.76,0.5843
2.5,23,5.5,0.33,0.7069
41.87,275,28.4,0.65,0.813
8.07,12,30.7,0.38,0.7036
28.51,108,24.5,0.7,0.7435
19.7,99,10.2,0.16,0.6037
2.3,7,6.0,0.34,0.7513
6.32,23,29.8,0.38,0.7637
9.58,56,22.9,0.81,0.8113
29.59,65,16.6,0.43,0.6466
11.13,141,12.8,0.92,0.8797
14.6,13,31.9,0.67,0.6869
2.95,112,20.5,0.96,0.9277
62.33,13,23.4,0.75,0.6803
3.21,29,8.6,0.23,0.7283
17.71,26,38.7,0.44,0.6401
10.59,22,7.7,0.55,0.7735
2.17,37,30.6,0.76,0.873
3.16,109,46.6,0.92,1.0
55.46,60,23.6,0.77,0.7288
12.09,56,18.9,0.73,0.7866
1.49,90,39.8,0.3,0.7228
35.47,54,37.9,0.24,0.5361
20.15,47,9.7,0.51,0.7196
5.64,59,4.8,0.52,0.7298
10.64,40,23.7,0.65,0.7825
1.78,8,28.0,0.54,0.8218
1.43,150,40.6,0.97,0.9448
91.64,62,45.6,0.75,0.549
13.95,31,2.1,0.77,0.7468
8.08,29,12.1,0.39,0.6596
31.0,249,12.3,0.81,0.8496
11.04,196,9.5,0.64,0.8803
33.11,105,3.8,0.86,0.6643
10.81,41,47.8,0.78,0.8743
13.73,32,17.8,0.69,0.7768
16.63,47,10.9,0.81,0.8123
32.32,71,29.7,0.82,0.7378
18.79,41,14.5,0.67,0.7546
57.27,14,23.2,0.28,0.6092
15.24,118,10.2,0.85,0.912
49.35,47,9.5,0.68,0.5935
16.7,49,21.0,0.52,0.6534
7.16,30,39.2,0.29,0.7433
54.49,6,8.2,0.3,0.4672
100.0,68,14.5,0.7,0.6032
3.47,102,24.5,0.63,0.7905
5.21,192,31.3,0.54,0.7922
24.03,173,19.5,0.91,0.8528
7.98,32,31.3,0.53,0.6728
4.93,81,43.7,0.83,0.7909
1.79,38,6.1,0.36,0.6991
7.7,102,41.3,0.73,0.7838
14.39,56,25.0,0.63,0.7376
3.45,157,16.5,0.8,0.9315
3.32,66,35.9,0.51,0.7658
1.6,68,23.3,0.45,0.7095
25.99,40,29.4,0.61,0.7313
2.73,96,32.5,0.33,0.7452
44.0,7,46.2,0.47,0.5992
57.47,22,37.4,0.3,0.5218
9.34,26,25.5,0.45,0.7632
3.48,207,12.7,0.89,0.9941
4.86,90,31.5,0.83,0.8565
14.88,24,29.0,0.42,0.6106
0.5,128,40.7,0.78,0.8741
11.76,11,25.1,0.43,0.6594
32.93,25,21.9,0.24,0.582
0.7,80,22.7,0.59,0.834
97.41,102,5.6,0.9,0.5161
8.73,92,1.0,0.63,0.7791
7.39,32,18.7,0.47,0.7766
2.76,158,3.8,0.89,0.8882
20.65,11,4.3,0.4,0.5513
2.12,160,12.6,0.78,0.9699
55.1,124,39.5,0.89,0.7018
9.97,29,26.6,0.61,0.8251
27.4,56,8.3,0.67,0.6731
1.31,21,45.9,0.35,0.7347
3.54,77,6.1,0.45,0.742
20.26,15,7.9,0.36,0.5473
20.69,26,8.0,0.3,0.6732
4.88,18,15.1,0.39,0.6733
13.16,85,9.5,0.73,0.84
1.01,63,15.9,0.73,0.8191
48.84,5,23.7,0.33,0.4894
68.03,16,35.9,0.54,0.5245
50.16,24,18.5,0.31,0.5423
18.7,111,3.3,0.96,0.8077
8.88,167,21.9,0.79,0.8583
29.22,88,17.1,0.77,0.7817
27.57,86,40.7,0.71,0.7343
12.47,74,17.8,0.42,0.7007
28.11,37,11.2,0.67,0.5618
15.39,66,12.9,0.53,0.7841
37.04,44,8.2,0.3,0.6062
74.61,47,17.1,0.54,0.6258
18.69,30,23.3,0.25,0.616
30.49,99,9.5,0.52,0.6254
5.26,7,16.1,0.44,0.7181
61.7,68,44.7,0.39,0.5631
15.71,46,29.2,0.36,0.6138
26.51,132,36.8,0.68,0.7632
15.54,25,25.4,0.77,0.7932
11.96,58,21.6,0.88,0.8408
8.45,71,2.7,0.64,0.7501
16.6,72,23.8,0.78,0.7703
2.74,95,12.3,0.42,0.7797
17.7,11,2.7,0.61,0.6139
17.74,47,16.6,0.61,0.7044
29.6,174,46.6,0.72,0.7508
13.66,75,14.3,0.72,0.8034
16.31,19,17.1,0.32,0.7108
2.16,62,44.8,0.39,0.7055
10.93,110,31.5,0.74,0.8728
7.66,15,36.6,0.51,0.6445
8.4,36,8.0,0.66,0.7517
1.2,34,39.4,0.63,0.753
10.32,93,7.3,0.6,0.7381
24.63,77,44.7,0.39,0.7281
10.3,21,15.3,0.65,0.7154
28.73,30,29.6,0.35,0.6653
7.63,37,8.9,0.77,0.8863
11.37,65,20.3,0.76,0.8221
77.8,32,24.6,0.6,0.562
13.39,29,46.4,0.67,0.7542
11.3,110,10.6,0.68,0.7129
13.18,102,15.3,0.87,0.8202
13.26,17,8.8,0.51,0.6152
44.85,35,34.4,0.77,0.7418
1.3,6,37.4,0.57,0.7078
15.84,37,19.3,0.76,0.8164
52.82,168,24.9,0.75,0.6468
7.04,30,47.9,0.62,0.7745
12.08,40,13.2,0.61,0.75
17.42,125,1.3,0.87,0.7796
12.45,64,35.5,0.55,0.8859
5.66,44,33.7,0.46,0.7165
10.21,26,21.3,0.26,0.7139
5.94,17,24.7,0.28,0.717
18.0,68,18.5,0.78,0.7639
45.68,174,21.8,0.45,0.6876
27.17,7,3.3,0.32,0.4556
7.91,189,20.3,0.75,0.8717
23.37,67,29.5,0.75,0.7348
37.36,6,40.7,0.58,0.583
2.01,16,17.3,0.3,0.6441
11.09,65,11.2,0.51,0.7401
32.7,18,4.2,0.35,0.528
9.42,63,15.7,0.87,0.8044
29.57,23,39.1,0.62,0.7366
49.83,13,36.3,0.65,0.5232
17.82,114,27.8,0.56,0.6693
4.51,40,16.2,0.78,0.8221
40.95,66,6.0,0.62,0.6587
17.72,56,22.5,0.67,0.751
11.92,22,26.6,0.59,0.7343
13.09,10,31.5,0.51,0.732
2.88,7,13.1,0.44,0.7389
25.28,10,35.6,0.34,0.6103
1.0,64,35.1,0.44,0.8401
21.51,207,43.9,0.8,0.8207
1.63,32,23.0,0.91,0.914
1.87,184,17.9,0.71,0.8308
8.09,11,31.8,0.43,0.6909
12.42,35,4.6,0.66,0.745
4.78,10,43.8,0.2,0.6875
16.31,9,36.6,0.2,0.5906
37.2,5,3.3,0.39,0.5171
18.64,21,2.3,0.37,0.5225
9.19,11,7.1,0.67,0.7468
34.02,48,30.1,0.58,0.7198
7.24,56,15.8,0.67,0.7803
25.41,14,12.1,0.54,0.6565
49.06,12,31.4,0.58,0.549
28.62,23,22.1,0.46,0.6887
6.32,128,13.5,0.62,0.7899
4.2,177,22.3,0.79,0.8615
3.61,10,20.9,0.54,0.745
4.15,133,39.6,0.96,0.9731
6.69,6,22.4,0.47,0.6837
4.07,63,32.7,0.39,0.7559
10.15,54,21.2,0.5,0.7104
57.02,14,42.1,0.21,0.4979
26.03,19,34.8,0.36,0.5496
35.13,18,31.7,0.82,0.6944
34.76,371,10.9,0.82,0.8001
14.48,84,7.4,0.71,0.7663
2.35,25,47.1,0.73,0.7898
34.89,21,4.3,0.51,0.6482
26.83,14,18.0,0.38,0.5813
100.0,37,39.4,0.79,0.6657
20.39,32,7.8,0.57,0.6574
8.21,40,8.6,0.46,0.6664
15.1,5,20.9,0.52,0.6273
34.05,49,10.9,0.86,0.758
22.63,34,23.9,0.42,0.8076
50.22,85,22.2,0.6,0.803
12.97,19,44.0,0.49,0.6423
9.93,10,30.3,0.54,0.7295
10.93,135,34.4,0.95,0.9431
2.82,173,9.2,0.63,0.9027
45.1,9,16.6,0.52,0.6345
5.96,21,20.3,0.38,0.6825
3.98,83,30.0,0.86,0.9263
29.87,88,19.8,0.54,0.7387
4.99,86,41.0,0.67,0.7696
21.22,5,46.1,0.46,0.5111
14.32,8,33.2,0.69,0.7888
21.4,14,42.0,0.22,0.5987
6.34,86,39.4,0.54,0.891
2.37,32,41.1,0.74,0.7982
25.96,10,30.3,0.66,0.7112
41.88,11,41.7,0.29,0.4851
24.6,76,6.0,0.75,0.7195
10.52,99,24.2,0.54,0.7801
10.83,25,24.1,0.16,0.5949
5.96,154,15.3,0.97,0.9039
8.31,44,26.9,0.86,0.7945
12.74,76,10.7,0.55,0.7356
8.77,46,10.6,0.54,0.7009
47.77,11,9.4,0.5,0.5251
6.79,65,32.0,0.57,0.7884
7.64,13,14.4,0.59,0.8055
0.86,10,20.3,0.38,0.6476
42.24,81,8.9,0.64,0.6331
1.8,15,2.5,0.52,0.7463
3.86,22,12.7,0.29,0.6574
36.71,40,25.8,0.72,0.6833
18.5,16,6.5,0.43,0.6592
21.09,81,45.1,0.61,0.7245
5.2,8,34.1,0.55,0.6558
1.55,39,6.8,0.27,0.6751
3.83,27,18.5,0.54,0.7141
20.29,11,47.3,0.25,0.4981
16.65,14,18.8,0.37,0.647
27.48,75,29.5,0.43,0.7317
12.97,14,16.9,0.45,0.723
5.35,11,41.0,0.44,0.6901
7.72,55,17.5,0.69,0.8571
4.84,92,27.4,0.73,0.8802
40.96,33,46.4,0.52,0.6785
43.11,26,4.9,0.26,0.4376
13.78,80,19.0,0.51,0.729
15.36,60,13.7,0.72,0.8044
21.37,6,30.1,0.69,0.6321
1.58,6,34.7,0.21,0.6276
4.18,15,22.7,0.37,0.6728
2.02,20,47.1,0.66,0.7809
51.21,177,26.4,0.86,0.6831
13.19,35,28.4,0.61,0.6859
22.31,25,45.0,0.35,0.6278
20.3,45,35.9,0.57,0.7317
28.24,64,47.6,0.87,0.8105
43.32,16,42.0,0.58,0.6562
14.85,146,3.2,0.9,0.7369
49.9,76,24.7,0.59,0.6622
11.96,13,45.5,0.22,0.6949
17.02,45,6.4,0.87,0.8043
26.16,6,29.0,0.49,0.671
100.0,33,16.1,0.59,0.4643
1.34,26,13.5,0.45,0.7429
1.96,140,37.0,0.72,0.9247
25.53,134,25.3,0.92,0.9562
0.7,15,24.1,0.55,0.6514
19.02,22,20.3,0.5,0.6514
2.17,37,1.5,0.62,0.8155
39.05,62,3.5,0.63,0.6436
26.48,202,8.3,0.71,0.7437
1.88,332,2.2,0.66,0.9219
44.33,35,29.5,0.5,0.5389
16.88,39,7.8,0.49,0.6491
1.59,75,45.9,0.86,0.8555
3.86,27,33.8,0.08,0.6626
